Ticker,Lloyd's Algorithm,Frank-wolfe Algorithm,Trace Maximization
PNW,4,5,5
POOL,4,5,5
POR,4,4,5
POWL,4,5,5
POWWP,0,4,0
PPG,4,5,5
PPL,4,5,5
PRGO,4,5,5
PRMW,4,5,5
PRPH,2,4,2
PSHG,2,4,2
PSMT,0,4,0
PSO,0,4,0
PSX,4,5,5
PTEN,4,5,5
PTVE,0,4,0
PVH,0,4,0
PWR,4,5,5
PXD,4,5,5
PXSAP,1,5,1
PZZA,4,5,5
QCOM,4,5,5
QRTEA,2,6,2
QRTEB,2,6,2
QRTEP,0,6,0
QSR,4,5,5
QUAD,2,4,2
R,4,5,5
RACE,2,6,2
RBA,4,5,5
RBC,2,4,2
RBCP,2,6,2
RCI,4,4,5
RCKY,4,5,5
RCL,2,4,2
RDUS,4,5,5
RDY,2,4,2
RELX,0,4,0
RES,2,4,2
REVG,0,4,0
REYN,4,4,5
RGCO,4,5,5
RGLD,4,5,5
RGR,4,5,5
RHP,2,4,2
RICK,4,5,5
RILY,4,5,5
RILYL,0,4,0
RILYP,4,5,5
RIO,0,0,0
RL,0,4,0
RMCF,2,4,2
RMD,4,4,5
ROK,4,5,5
ROL,4,5,5
ROP,4,5,5
ROST,0,4,0
RPM,4,5,5
RRR,0,4,0
RRX,4,5,5
RS,4,5,5
RSG,4,5,5
RTO,2,4,2
RTX,4,5,5
RUSHA,4,5,5
RUSHB,4,5,5
RVTY,4,5,5
RYI,0,4,0
RYN,4,5,5
SAH,4,5,5
SAIC,4,5,5
SB,2,4,2
SB-PC,4,5,5
SB-PD,4,5,5
SBLK,0,6,0
SBS,2,2,2
SBSW,0,4,0
SBUX,4,4,5
SCCO,4,5,5
SCHL,4,5,5
SCI,4,5,5
SCL,4,5,5
SCS,4,5,5
SCVL,4,5,5
SEAT,2,4,2
SEE,4,5,5
SFL,4,5,5
SGC,4,4,5
SGU,4,5,5
SHEL,4,4,5
SHIP,2,4,2
SHO,2,2,2
SHO-PH,0,4,0
SHO-PI,0,4,0
SHOO,0,4,0
SHW,4,5,5
SHYF,4,4,5
SID,0,4,0
SIG,0,4,0
SIGA,2,4,2
SIMO,4,4,5
SIRI,4,5,5
SIX,2,4,2
SJM,4,5,5
SKYW,2,4,2
SLB,4,5,5
SLCA,2,4,2
SLGN,4,5,5
SLNHP,4,5,5
SMG,4,5,5
SMP,4,4,5
SNA,4,5,5
SNDR,4,5,5
SNN,0,4,0
SNT,2,6,2
SNX,0,4,0
SNY,2,6,2
SO,4,5,5
SOI,4,5,5
SON,4,4,5
SPB,4,4,5
SPH,4,5,5
SPLP-PA,4,5,5
SPR,4,4,5
SPTN,4,5,5
SQFT,0,4,0
SQFTP,4,5,5
SQM,4,5,5
SR,4,5,5
SR-PA,4,5,5
SRE,4,5,5
SRL,2,4,2
SSD,4,4,5
SSL,2,4,2
SSRM,0,4,0
ST,2,2,2
STE,4,4,5
STLA,2,4,2
STLD,4,5,5
STM,4,5,5
STNG,4,5,5
STRRP,0,4,0
STRS,2,6,2
STRT,2,4,2
STX,4,5,5
STZ,4,5,5
SU,4,5,5
SUI,4,5,5
SUN,4,5,5
SUZ,2,4,2
SWBI,4,4,5
SWK,4,5,5
SWKS,4,5,5
SXC,4,5,5
SXI,4,5,5
SXT,4,4,5
SYY,4,5,5
T,4,5,5
T-PA,4,5,5
T-PC,4,4,5
TAC,0,4,0
TAP,0,4,0
TAST,2,4,2
TBB,4,4,5
TCS,2,4,2
TDG,5,6,6
TDS,4,5,5
TDS-PV,0,4,0
TDW,2,4,2
TECH,4,5,5
TECK,4,4,5
TEF,0,4,0
TEL,4,5,5
TEO,2,4,2
TER,4,5,5
TEX,0,4,0
TFII,4,5,5
TFPM,2,4,2
TFX,4,5,5
TG,4,5,5
TGH,0,4,0
TGH-PA,0,4,0
TGH-PB,0,4,0
TGI,2,4,2
TGLS,4,5,5
TGT,4,5,5
THO,4,4,5
TILE,4,5,5
TIMB,4,4,5
TJX,0,4,0
TKC,0,4,0
TKR,4,5,5
TLK,3,1,4
TMO,4,5,5
TNC,4,5,5
TNL,4,5,5
TNP,0,4,0
TNP-PE,4,4,5
TNP-PF,4,5,5
TOL,4,5,5
TPB,4,5,5
TPR,0,4,0
TPX,0,4,0
TR,4,4,5
TRGP,4,5,5
TRI,4,4,5
TRMD,2,4,2
TRN,4,5,5
TROX,4,5,5
TRP,4,5,5
TRS,0,4,0
TS,0,4,0
TSAT,2,6,2
TSCO,4,5,5
TSE,4,5,5
TSM,4,5,5
TSN,4,5,5
TT,4,5,5
TTC,4,4,5
TTE,4,5,5
TTSH,2,4,2
TV,2,4,2
TWI,2,4,2
TX,2,6,2
TXN,4,5,5
TXRH,0,4,0
TXT,4,5,5
UAN,0,0,0
UE,4,4,5
UFPI,4,5,5
UGI,4,5,5
UGIC,0,6,0
UGP,0,4,0
UHAL,0,4,0
UHAL-B,2,4,2
UHS,0,4,0
UI,4,5,5
UL,4,5,5
UMC,2,4,2
UMH,4,5,5
UMH-PD,4,4,5
UNP,4,5,5
UPBD,4,5,5
UPS,4,5,5
USAC,4,5,5
USLM,4,5,5
UTL,4,5,5
UTZ,4,4,5
UVV,4,5,5
VAC,0,4,0
VALE,0,4,0
VATE,2,6,2
VEON,2,6,2
VET,0,4,0
VFC,4,5,5
VGR,4,5,5
VHI,4,5,5
VIA,4,5,5
VIASP,4,5,5
VIV,4,5,5
VLGEA,4,4,5
VLO,4,5,5
VMC,4,5,5
VMI,4,5,5
VNT,0,4,0
VOD,0,4,0
VRE,2,4,2
VRT,2,2,2
VSEC,4,5,5
VSH,4,5,5
VST,4,5,5
VTRS,0,4,0
VVI,2,4,2
VVV,4,5,5
VZ,4,5,5
WAB,4,5,5
WBA,4,5,5
WCC-PA,4,4,5
WCN,4,5,5
WDC,2,4,2
WDFC,4,5,5
WDS,0,4,0
WEC,4,5,5
WEN,4,5,5
WERN,4,5,5
WES,4,5,5
WEYS,4,5,5
WFCF,2,4,2
WFG,4,4,5
WGO,4,5,5
WHD,4,5,5
WHR,4,5,5
WILC,2,4,2
WINA,4,5,5
