Ticker,Inventory,Working Capital,Total Assets,Current Assets,Current Liabilities,Cash And Cash Equivalents,Total Debt,Stockholders Equity,Invested Capital,Reconciled Cost Of Revenue,Operating Revenue,Ebitda,Ebit,Interest Expense,Gross Profit,Net Income,mean,count
WLGS,,-898185.0,2546956.3333333335,2378631.0,3276816.0,385191.0,825976.3333333334,-1198541.0,-372564.6666666667,3332873.0,4126416.0,-185905.33333333334,-190048.0,32639.333333333332,793543.0,-224535.33333333334,,
WLK,1397000000.0,2904666666.6666665,17614666666.666668,4904333333.333333,1999666666.6666667,1816333333.3333333,4988666666.666667,7976333333.333333,12518000000.0,8067666666.666667,11692000000.0,3039333333.3333335,2149666666.6666665,165000000.0,2863666666.6666665,1530666666.6666667,0.2926666666666667,12.0
WLKP,5695666.666666667,192272333.33333334,1403055000.0,263436000.0,71163666.66666667,32997666.666666668,399674000.0,0.0,687443000.0,858907000.0,1258225000.0,482255333.3333333,371241333.3333333,11420333.333333334,399318000.0,70962333.33333333,0.47100000000000003,12.0
WLY,40912333.333333336,-397856666.6666667,3325642666.6666665,564030000.0,961886666.6666666,132218666.66666667,962207000.0,1055728000.0,1850274666.6666667,516162666.6666667,1951970666.6666667,325370333.3333333,128541666.66666667,21048000.0,1312965000.0,74092666.66666667,0.34437500000000004,12.0
WLYB,40912333.333333336,-397856666.6666667,3325642666.6666665,564030000.0,961886666.6666666,132218666.66666667,962207000.0,1055728000.0,1850274666.6666667,516162666.6666667,1951970666.6666667,325370333.3333333,128541666.66666667,21048000.0,1312965000.0,74092666.66666667,0.34437500000000004,12.0
WM,141000000.0,-623000000.0,29936333333.333332,3386666666.6666665,4009666666.6666665,340666666.6666667,14066333333.333334,7141666666.666667,21208000000.0,10915333333.333334,17615666666.666668,4678666666.666667,2776000000.0,389333333.3333333,6700333333.333333,1850000000.0,0.5900000000000002,12.0
WMB,278333333.3333333,-802000000.0,46736666666.666664,3258333333.3333335,4060333333.3333335,658000000.0,22999666666.666668,11559000000.0,34498333333.333336,4891333333.333333,9950333333.333334,4654000000.0,2796666666.6666665,1166000000.0,4879000000.0,1259000000.0,0.4116666666666666,12.0
WMG,95333333.33333333,-1175000000.0,7149666666.666667,1904333333.3333333,3079333333.3333335,545333333.3333334,3710333333.3333335,40000000.0,3434000000.0,2643666666.6666665,5227666666.666667,676333333.3333334,374333333.3333333,124666666.66666667,2509333333.3333335,126666666.66666667,0.13999999999999999,10.0
WMK,277295000.0,334071000.0,1896682000.0,679676666.6666666,345605666.6666667,126885666.66666667,198596333.33333334,1222563666.6666667,1222563666.6666667,3205492000.0,4344320333.333333,257713666.66666666,155647000.0,,1132685000.0,117654000.0,0.3158333333333333,12.0
WMPN,,,812937333.3333334,,,95927333.33333333,60049333.333333336,168539000.0,225503000.0,,21545000.0,,,3946000.0,,3114666.6666666665,0.14,6.0
